Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,60.55,60.99,59.43,59.86,1165500,59.86
2013-07-11,60.30,60.97,59.95,60.45,1066200,60.45
2013-07-10,59.62,60.12,59.15,59.60,1069700,59.60
2013-07-09,60.82,61.37,59.71,59.78,935200,59.78
2013-07-08,61.13,61.32,60.29,60.62,787800,60.62
2013-07-05,60.79,60.98,59.86,60.59,476500,60.59
2013-07-03,60.13,60.58,59.56,60.25,533500,60.25
2013-07-02,60.29,60.76,59.86,60.40,1109600,60.40
2013-07-01,61.10,61.84,60.60,60.82,1331800,60.82
2013-06-28,60.09,61.82,59.84,60.83,2971600,60.83
2013-06-27,58.01,59.71,58.00,59.65,1225800,59.65
2013-06-26,57.52,58.33,57.39,57.75,844500,57.75
2013-06-25,57.20,57.77,56.83,57.20,1055500,57.20
2013-06-24,56.06,57.20,55.52,56.82,1670600,56.82
2013-06-21,56.12,56.87,54.59,56.22,2955600,56.22
2013-06-20,57.76,57.93,55.90,56.04,1374900,56.04
2013-06-19,59.58,60.77,58.28,58.36,1511100,58.36
2013-06-18,59.99,60.35,59.17,59.63,1074400,59.63
2013-06-17,59.68,61.22,59.19,59.61,1884600,59.61
2013-06-14,61.67,62.94,58.71,59.26,2737300,59.26
2013-06-13,61.71,62.10,61.30,62.00,1451400,62.00
2013-06-12,61.76,62.49,61.69,61.90,1227800,61.90
2013-06-11,61.63,62.43,61.30,61.37,1004600,61.37
2013-06-10,61.84,62.32,61.31,62.20,1159200,62.20
2013-06-07,59.82,62.34,59.59,61.62,3244900,61.62
2013-06-06,58.80,59.97,58.35,59.74,2109900,59.74
2013-06-05,59.28,61.48,58.28,58.62,3874600,58.62
2013-06-04,56.28,59.79,55.74,59.60,5591100,59.60
2013-06-03,54.43,54.82,53.57,53.96,1827400,53.96
2013-05-31,54.76,55.64,54.51,54.59,1524200,54.59
2013-05-30,55.06,55.56,54.75,54.82,961800,54.82
2013-05-29,55.18,55.49,54.23,54.87,1243700,54.87
2013-05-28,56.45,56.87,55.25,55.49,1064800,55.49
2013-05-24,56.38,56.51,55.51,55.91,1087300,55.91
2013-05-23,56.69,56.96,56.01,56.75,1217800,56.75
2013-05-22,57.25,59.34,56.63,56.88,2198200,56.88
2013-05-21,56.27,56.89,55.92,56.43,2030200,56.43
2013-05-20,56.51,56.84,55.74,56.27,1287400,56.27
2013-05-17,57.50,57.54,56.09,56.91,1488800,56.91
2013-05-16,57.61,58.83,57.17,57.21,2003900,57.21
2013-05-15,56.30,57.89,55.99,57.80,2132200,57.80
2013-05-14,55.25,56.76,54.50,56.42,3156400,56.42
2013-05-13,53.70,54.87,52.84,53.83,3224400,53.83
2013-05-10,54.00,54.37,53.11,54.23,2837300,54.23
2013-05-09,51.25,54.01,50.75,54.01,9439000,54.01
2013-05-08,57.21,57.78,56.31,56.97,3457800,56.97
2013-05-07,56.25,57.26,55.72,57.15,1710500,57.15
2013-05-06,57.28,57.40,55.34,56.18,1931300,56.18
2013-05-03,55.97,58.29,55.97,57.44,1410300,57.44
2013-05-02,55.72,56.50,55.45,55.50,1013600,55.50
2013-05-01,55.46,56.26,54.88,55.92,1925600,55.92
2013-04-30,56.38,56.84,55.45,56.40,1277200,56.40
2013-04-29,56.65,56.80,56.29,56.50,962800,56.50
